text,label,cleaned,stemmed
باید کاری کنم باید این زن گریان درونم رو نجات بدم باید،باید،باید,SAD, کاری زن گریان درونم نجات بدم,باید کاری کنم باید این زن گریان درونم رو نجات بدم باید،باید،باید
به واقع قشنگ ترین جک چند وقت اخیر بود ، خیلی خندیدم ، خیییییلی  …,HAPPY, واقع قشنگ ترین جک وقت خندیدم,به واقع قشنگ ترین جک چند وقت اخیر بود ، خیلی خندیدم ، خیییییلی  …
بیماری قارچی میان دانشآموزان ایرانشهری و بیتوجهی مسئولان ولایی نسبت به درمان شهرستان ایرانشهر استان سیستان و بلوچستان، بیماری قارچی و کچلی میان دانشآموزان اپیدمی شده و این دانشآموزان به علت فقر و محرومیت زیاد نمیتوانند به پزشک مراجعه کنند! #چهل_سال_شکست #چهل_سال_عقبگرد,SAD, بیماری قارچی دانشآموزان ایرانشهری بیتوجهی مسیولان ولایی نسبت درمان شهرستان ایرانشهر استان سیستان بلوچستان بیماری قارچی کچلی دانشآموزان اپیدمی دانشآموزان علت فقر محرومیت زیاد نمیتوانند پزشک مراجعه چهل سال شکست چهل سال عقبگرد,بیماری قارچی میان دانشآموزان ایرانشهری و بیتوجهی مسئولان ولایی نسبت به درمان شهرستان ایرانشهر استان سیستان و بلوچستان، بیماری قارچی و کچلی میان دانشآموزان اپیدمی شده و این دانشآموزان به علت فقر و محرومیت زیاد نمیتوانند به پزشک مراجعه کنند! #چهل_سال_شکست #چهل_سال_عقبگرد
#دانلود #فیلمنامه «جانوران شگفت انگیز: جنایات #گریندلوالد» (زبان #انگلیسی) فرمت این #کتاب الکترونیکی... …,OTHER, دانلود فیلمنامه جانوران شگفت انگیز جنایات گریندلوالد زبان انگلیسی فرمت کتاب الکترونیکی,#دانلود #فیلمنامه «جانوران شگفت انگیز: جنایات #گریندلوالد» (زبان #انگلیسی) فرمت این #کتاب الکترونیکی... …
رفته بودم لوازم یدکی بگیرم پیرمده اومد یک قطعه می خواست قیمتش 11 تومن بود داد رفت بعد فروشنده گفت #چه_مردم_نازنینی داریم هر چی میگی میدن یکی اعتراض نمیکنه چرا قطعه ای که تادیروز 2 تومن بود شده 11 تومن اخه چرا اینقدر زیادی نازنیند !,SURPRISE, بودم لوازم یدکی پیرمده اومد قطعه قیمتش تومن فروشنده نازنینی میگی میدن اعتراض نمیکنه قطعه تادیروز تومن تومن اخه اینقدر زیادی نازنیند,رفته بودم لوازم یدکی بگیرم پیرمده اومد یک قطعه می خواست قیمتش 11 تومن بود داد رفت بعد فروشنده گفت #چه_مردم_نازنینی داریم هر چی میگی میدن یکی اعتراض نمیکنه چرا قطعه ای که تادیروز 2 تومن بود شده 11 تومن اخه چرا اینقدر زیادی نازنیند !
دیدم حمیدرضا عارف در مصاحبه با انصاف نیوز گله کرده که انتقادها به حرفهایش حاصل شنیدن حرفهای تقطیع شده بوده. دیدم راست میگوید. کل مصاحبه را نگاه کردم. راست میگفت. حرفهایش انتقاد برانگیز نیست. حال به هم زننده و تهوع آور است. #ژن_خوب,HATE, دیدم حمیدرضا عارف مصاحبه انصاف نیوز گله انتقادها حرفهایش حاصل شنیدن حرفهای تقطیع دیدم راست میگوید مصاحبه راست میگفت حرفهایش انتقاد برانگیز زننده تهوع آور ژن خوب,دیدم حمیدرضا عارف در مصاحبه با انصاف نیوز گله کرده که انتقادها به حرفهایش حاصل شنیدن حرفهای تقطیع شده بوده. دیدم راست میگوید. کل مصاحبه را نگاه کردم. راست میگفت. حرفهایش انتقاد برانگیز نیست. حال به هم زننده و تهوع آور است. #ژن_خوب
در #سمینار_کودک_آزاری اعتراض می کنیم پرسش میکنیم متعهد میشویم مطالبه میکنیم برای حمایت ازکودکی که هرثانیه داره آزارمیبینه درمحلات حاشیه,SAD, سمینار کودک آزاری اعتراض پرسش میکنیم متعهد میشویم مطالبه میکنیم حمایت ازکودکی هرثانیه آزارمیبینه درمحلات حاشیه,در #سمینار_کودک_آزاری اعتراض می کنیم پرسش میکنیم متعهد میشویم مطالبه میکنیم برای حمایت ازکودکی که هرثانیه داره آزارمیبینه درمحلات حاشیه
 ممنون میشم اگه به سوالم جواب بدی ، می خوام قبل از اینکه جوابت رو بدم علت این کارت رو بدونم مبادا دچار قضاوت عجولانه بشم اگه جواب ندی مشخص میشه حدس من درباره ت درست بوده و میتونم با پیش داوری جوابت رو بدم,OTHER, ممنون میشم سوالم جواب بدی خوام جوابت بدم علت کارت بدونم مبادا دچار قضاوت عجولانه بشم جواب ندی مشخص حدس درست میتونم داوری جوابت بدم, ممنون میشم اگه به سوالم جواب بدی ، می خوام قبل از اینکه جوابت رو بدم علت این کارت رو بدونم مبادا دچار قضاوت عجولانه بشم اگه جواب ندی مشخص میشه حدس من درباره ت درست بوده و میتونم با پیش داوری جوابت رو بدم
طوفان یه جوری منشن میده داشتم اشک میریختم حالا خنده ام قطع نمیشه. خدا خیرت بده,HAPPY, طوفان جوری منشن میده اشک میریختم حالا خنده قطع نمیشه خدا خیرت بده,طوفان یه جوری منشن میده داشتم اشک میریختم حالا خنده ام قطع نمیشه. خدا خیرت بده
این اوضاع که آقازاده هابه سادگی چپاول میکنند چراباید یه عده به حاشیه سازی بپردازند وهواس عمومی مردم رو پرت کنند باچند فاحشه مانند مائدهژبری؟ اول اینکه عفت جزء ی ازدین مااست دوم کسی که به بیت المال ضرر وارد کند مفسد است وحکمش اعدام سوم در زمین دشمن بازی نکنید یاعلی,ANGRY, اوضاع آقازاده هابه سادگی چپاول میکنند چراباید عده حاشیه سازی بپردازند وهواس عمومی پرت باچند فاحشه مایدهژبری عفت جزء ازدین مااست بیت المال ضرر وارد مفسد وحکمش اعدام زمین دشمن بازی نکنید یاعلی,این اوضاع که آقازاده هابه سادگی چپاول میکنند چراباید یه عده به حاشیه سازی بپردازند وهواس عمومی مردم رو پرت کنند باچند فاحشه مانند مائدهژبری؟ اول اینکه عفت جزء ی ازدین مااست دوم کسی که به بیت المال ضرر وارد کند مفسد است وحکمش اعدام سوم در زمین دشمن بازی نکنید یاعلی
این یافا عجب میوه بیخودیه، بوی تخم مرغ و ماهی خام میده، رخ نارنگی داره مزهاش میکس پرتقال و لیموشیرینه.. عصن ثبات شخصیت نداره، واقعا بیدلیل ازش بدم نمیاد.,HATE, یافا عجب میوه بیخودیه بوی تخم مرغ ماهی خام میده رخ نارنگی مزهاش میکس پرتقال لیموشیرینه عصن ثبات شخصیت واقعا بیدلیل ازش بدم نمیاد,این یافا عجب میوه بیخودیه، بوی تخم مرغ و ماهی خام میده، رخ نارنگی داره مزهاش میکس پرتقال و لیموشیرینه.. عصن ثبات شخصیت نداره، واقعا بیدلیل ازش بدم نمیاد.
مربی خارجی حق ندارد، مربی خارجی بی قد و قواره و ... ولی میدانید که مردم هم حق اعتراض ندارن ؟ مردم هم خس و خاشاکن ؟ مردم هم بد بختن و شما از همه بهتر میبنید و میدانید! تریبون اصلی مملکت هم در اختیار شماس، چه قدمی برداشتید جز سانسور و جز شانتاژ رسانه ای؟  …,ANGRY, مربی خارجی مربی خارجی قد قواره میدانید اعتراض ندارن خس خاشاکن بد بختن بهتر میبنید میدانید تریبون اصلی مملکت اختیار شماس قدمی برداشتید سانسور شانتاژ رسانه,مربی خارجی حق ندارد، مربی خارجی بی قد و قواره و ... ولی میدانید که مردم هم حق اعتراض ندارن ؟ مردم هم خس و خاشاکن ؟ مردم هم بد بختن و شما از همه بهتر میبنید و میدانید! تریبون اصلی مملکت هم در اختیار شماس، چه قدمی برداشتید جز سانسور و جز شانتاژ رسانه ای؟  …
ابراهیم اصغرزاده: برخی فکر میکنند اصلاحطلبی یعنی وضع موجود را توجیه کردن. اینها بیشتر اصلاحطلبان پفکی و نمایشی هستند. مثلا اینها در موضوع شهرداری معتقدند شهردار باید کسی باشد که با همه بسازد و دستگاههای دیگر به آن اعتراض نداشته باشند/شرق #اصلاحطلبان_پفکی,OTHER, ابراهیم اصغرزاده فکر میکنند اصلاحطلبی موجود توجیه اصلاحطلبان پفکی نمایشی موضوع شهرداری معتقدند شهردار بسازد دستگاههای اعتراض نداشته شرق اصلاحطلبان پفکی,ابراهیم اصغرزاده: برخی فکر میکنند اصلاحطلبی یعنی وضع موجود را توجیه کردن. اینها بیشتر اصلاحطلبان پفکی و نمایشی هستند. مثلا اینها در موضوع شهرداری معتقدند شهردار باید کسی باشد که با همه بسازد و دستگاههای دیگر به آن اعتراض نداشته باشند/شرق #اصلاحطلبان_پفکی
این گوشی تخمی باز مموریو نمیخونه ریده به اعصابم,ANGRY, گوشی تخمی باز مموریو نمیخونه ریده اعصابم,این گوشی تخمی باز مموریو نمیخونه ریده به اعصابم
و تکثیر میدان ساحلیها، آفرین به شجاعتت.  …,HAPPY, تکثیر میدان ساحلیها آفرین شجاعتت,و تکثیر میدان ساحلیها، آفرین به شجاعتت.  …
زیر پست تسلیت طرف در مورد سانحه مرگبار سنندج، طرف نوشته: «باز اعتراضات زیاد شد، جمهوری اسلامی یه عده رو کشت»! این حجم از بیاعتمادی و خشم نسبت به حاکمیت واقعا ترسناکه.,FEAR, پست تسلیت سانحه مرگبار سنندج نوشته باز اعتراضات زیاد جمهوری اسلامی عده کشت حجم بیاعتمادی خشم نسبت حاکمیت واقعا ترسناکه,زیر پست تسلیت طرف در مورد سانحه مرگبار سنندج، طرف نوشته: «باز اعتراضات زیاد شد، جمهوری اسلامی یه عده رو کشت»! این حجم از بیاعتمادی و خشم نسبت به حاکمیت واقعا ترسناکه.
قضیه چیه هر چی خبرنگار #اصلاح_طلب فالو داشتم توییت حمایتی از #کیروش زده، یعنی ته روشنفکریتان اینجاست که هر کسی با مسئولان مخالف باشه را باید ستود، یا همه تون استقلالی هستید احیانا، راستی دست به دامن شدنش به رهبر با آرمانهاتون مشکلی نداره.,SURPRISE, قضیه چیه خبرنگار اصلاح طلب فالو توییت حمایتی کیروش ته روشنفکریتان اینجاست مسیولان مخالف ستود تون استقلالی احیانا راستی دست دامن شدنش رهبر آرمانهاتون مشکلی,قضیه چیه هر چی خبرنگار #اصلاح_طلب فالو داشتم توییت حمایتی از #کیروش زده، یعنی ته روشنفکریتان اینجاست که هر کسی با مسئولان مخالف باشه را باید ستود، یا همه تون استقلالی هستید احیانا، راستی دست به دامن شدنش به رهبر با آرمانهاتون مشکلی نداره.
واقعا چجوری 12 سال تمام 7صبح پاشدیم رفتیم مدرسه!اونم تو سنی که بیشترین نیاز رو به خواب داشتیم! عجیبه,SURPRISE, واقعا چجوری سال صبح پاشدیم رفتیم مدرسه اونم سنی بیشترین نیاز خواب عجیبه,واقعا چجوری 12 سال تمام 7صبح پاشدیم رفتیم مدرسه!اونم تو سنی که بیشترین نیاز رو به خواب داشتیم! عجیبه
ضرغامی: در جریان دی ماه 96 در جلسه شورای عالی امنیت ملی روحانی دستور فیلترینگ تلگرام را صادر کرد. آیا سلبریتی های بنفش، پمپاژکنندگان امید کاذب، دنباله رو های شیخ تکرار و تئوریزه کنندگان قلمی حامی #اعتدال و #اصلاح سخنی، حرفی ندارند؟! #اصلاحات_دروغین,ANGRY, ضرغامی دی ماه جلسه شورای عالی امنیت ملی روحانی دستور فیلترینگ تلگرام صادر سلبریتی بنفش پمپاژکنندگان امید کاذب دنباله شیخ تکرار تیوریزه کنندگان قلمی حامی اعتدال اصلاح سخنی حرفی اصلاحات دروغین,ضرغامی: در جریان دی ماه 96 در جلسه شورای عالی امنیت ملی روحانی دستور فیلترینگ تلگرام را صادر کرد. آیا سلبریتی های بنفش، پمپاژکنندگان امید کاذب، دنباله رو های شیخ تکرار و تئوریزه کنندگان قلمی حامی #اعتدال و #اصلاح سخنی، حرفی ندارند؟! #اصلاحات_دروغین
#مبارزه_با_فساد به روش سنگاپور: در سال 1951 اداره اعمال فساد تاسیس شد. این اداره به کلیه اسناد مالی، دولتی و خصوصی دسترسی دارد. طی سالهای فعالیتش تعدادی از سیاستمداران و مدیران عالی رتبه را به پای میز محاکمه کشانده است.,OTHER, مبارزه فساد روش سنگاپور سال اداره اعمال فساد تاسیس اداره کلیه اسناد مالی دولتی خصوصی دسترسی سالهای فعالیتش تعدادی سیاستمداران مدیران عالی رتبه پای میز محاکمه کشانده,#مبارزه_با_فساد به روش سنگاپور: در سال 1951 اداره اعمال فساد تاسیس شد. این اداره به کلیه اسناد مالی، دولتی و خصوصی دسترسی دارد. طی سالهای فعالیتش تعدادی از سیاستمداران و مدیران عالی رتبه را به پای میز محاکمه کشانده است.
 خوراکشون فرار از وظایف اصلی و پرادختن به خواشیه. اینا تخصص شیفت صورت مسئله دارن. چهل ساله انگشتشون به سمت آمریکا و دیگر کشورهاست. هیچ مسئولیت گندهایی رو که زدن نپذیرفتن,ANGRY, خوراکشون فرار وظایف اصلی پرادختن خواشیه اینا تخصص شیفت مسیله دارن چهل ساله انگشتشون سمت آمریکا کشورهاست مسیولیت گندهایی زدن نپذیرفتن, خوراکشون فرار از وظایف اصلی و پرادختن به خواشیه. اینا تخصص شیفت صورت مسئله دارن. چهل ساله انگشتشون به سمت آمریکا و دیگر کشورهاست. هیچ مسئولیت گندهایی رو که زدن نپذیرفتن
واسه من که به دو دستگاه وصل نشد بردش خیلی خیلی کمه در کل ارزش خرید نداره حتی در شگفت انگیز قبلا جبرا کلاسیک داشتم با اینکه قیمت خیلی کمتر در مقایسه با این داره قابل مقایسه نیست در کل پشیمون از خریدم,SAD, واسه دستگاه وصل نشد بردش کمه ارزش خرید شگفت انگیز قبلا جبرا کلاسیک قیمت کمتر مقایسه مقایسه پشیمون خریدم,واسه من که به دو دستگاه وصل نشد بردش خیلی خیلی کمه در کل ارزش خرید نداره حتی در شگفت انگیز قبلا جبرا کلاسیک داشتم با اینکه قیمت خیلی کمتر در مقایسه با این داره قابل مقایسه نیست در کل پشیمون از خریدم
یدفعه ناراحت شدم که فردا میرم پادگان ^_^ …,SAD, یدفعه ناراحت شدم فردا میرم پادگان,یدفعه ناراحت شدم که فردا میرم پادگان ^_^ …
با گریه به مامان زنگ زدم و تنها واکنشش این بود که داد زد: آدم بابت پنچری زر نمیزنه! منم فحش دادم گوشی رو قطع کردم. بابام هم برام شماره امداد خودرو رو فرستاد. حس بدبختی مطلق داشتم اون لحظه درحالی که واقعا هم اتفاق خاصی نیوفتاده بود.,SAD, گریه مامان زنگ زدم واکنشش زد آدم بابت پنچری زر نمیزنه فحش گوشی قطع بابام برام شماره امداد خودرو فرستاد حس بدبختی مطلق لحظه درحالی واقعا اتفاق خاصی نیوفتاده,با گریه به مامان زنگ زدم و تنها واکنشش این بود که داد زد: آدم بابت پنچری زر نمیزنه! منم فحش دادم گوشی رو قطع کردم. بابام هم برام شماره امداد خودرو رو فرستاد. حس بدبختی مطلق داشتم اون لحظه درحالی که واقعا هم اتفاق خاصی نیوفتاده بود.
فکر نمیکردم ترکیب مرغ و پیاز و کرفس و زعفرون اینقدر خوشمزه بشه. آفرین,HAPPY, فکر نمیکردم ترکیب مرغ پیاز کرفس زعفرون اینقدر خوشمزه بشه آفرین,فکر نمیکردم ترکیب مرغ و پیاز و کرفس و زعفرون اینقدر خوشمزه بشه. آفرین
بوی خیلی خوبی داره. بوی گلی ملایم و دوست داشتنی. پخش بوی خوبی هم داره. من خیلی دوستش دارم. اولین بار کادو گرفتم و بعد عاشق بوش شدم. از شگفت انگیز نصف قیمت خریدم,HAPPY, بوی خوبی بوی گلی ملایم دوست داشتنی پخش بوی خوبی دوستش اولین کادو عاشق بوش شدم شگفت انگیز نصف قیمت خریدم,بوی خیلی خوبی داره. بوی گلی ملایم و دوست داشتنی. پخش بوی خوبی هم داره. من خیلی دوستش دارم. اولین بار کادو گرفتم و بعد عاشق بوش شدم. از شگفت انگیز نصف قیمت خریدم
بنزین گرون شه همون تفریح کوچیک آخر هفتهم که می رفتیم یه وری تموم می شه,SAD, بنزین گرون شه همون تفریح کوچیک آخر هفتهم رفتیم وری تموم شه,بنزین گرون شه همون تفریح کوچیک آخر هفتهم که می رفتیم یه وری تموم می شه
با هم بودن اغاز است! با هم ماندن پبشرفت ! با هم کار کردن موفقیت....... مثلث پیروزی,HAPPY, اغاز ماندن پبشرفت کار موفقیت مثلث پیروزی,با هم بودن اغاز است! با هم ماندن پبشرفت ! با هم کار کردن موفقیت....... مثلث پیروزی
هر کلمهای که از این رسانه مزدور خارج میشه نفرت میلیونها ایرانیُ در پی داره! در منفور بودن یک شبکه تلویزیونی شما رکورد زدین آقایان و خانمهای شاغل در بیبیسی فارسی! امیدوارم این حجم از منفور بودن حداقل در کتاب گینس ثبت بشه! #با_پهلوی_تا_همیشه این هشتگ صرفا جهت سوزش بيشتر …,HATE, کلمهای رسانه مزدور خارج نفرت میلیونها ایرانیُ منفور شبکه تلویزیونی رکورد زدین آقایان خانمهای شاغل بیبیسی فارسی امیدوارم حجم منفور حداقل کتاب گینس ثبت بشه پهلوی هشتگ صرفا سوزش,هر کلمهای که از این رسانه مزدور خارج میشه نفرت میلیونها ایرانیُ در پی داره! در منفور بودن یک شبکه تلویزیونی شما رکورد زدین آقایان و خانمهای شاغل در بیبیسی فارسی! امیدوارم این حجم از منفور بودن حداقل در کتاب گینس ثبت بشه! #با_پهلوی_تا_همیشه این هشتگ صرفا جهت سوزش بيشتر …
رادیومجلس،تریبون واویلا بود واویلا برای ملت در #استیضاح_کرباسیان شرم برای اصلاح طلبان دوران احمدینژاد زد و بند،رانت،فامیل بازی بود صدای ما بلند بود که آخ #اصولگرایان_کاسب! حالا چه بگوییم؟ آخ #اصلاحطلبان_کاسب؟ هرکسی مجلس شنید و دستش از حجم فسادمشت شد،نمی تواند عصبانی نباشد,ANGRY, رادیومجلس تریبون واویلا واویلا ملت استیضاح کرباسیان شرم اصلاح طلبان دوران احمدینژاد زد بند رانت فامیل بازی صدای بلند اصولگرایان کاسب حالا اصلاحطلبان کاسب هرکسی مجلس شنید دستش حجم فسادمشت عصبانی نباشد,رادیومجلس،تریبون واویلا بود واویلا برای ملت در #استیضاح_کرباسیان شرم برای اصلاح طلبان دوران احمدینژاد زد و بند،رانت،فامیل بازی بود صدای ما بلند بود که آخ #اصولگرایان_کاسب! حالا چه بگوییم؟ آخ #اصلاحطلبان_کاسب؟ هرکسی مجلس شنید و دستش از حجم فسادمشت شد،نمی تواند عصبانی نباشد
این راننده خطی انقدر باشعوره که صدای آهنگ رو کم میکنه که بقیه اذیت نشن. آفرین مرد.,HAPPY, راننده خطی انقدر باشعوره صدای آهنگ کم بقیه اذیت نشن آفرین مرد,این راننده خطی انقدر باشعوره که صدای آهنگ رو کم میکنه که بقیه اذیت نشن. آفرین مرد.
ليلا حاتمى: در كشور من مردم به قيمت جونشون ميتونن اعتراض كنن... ارزشيا: غلط كردى دروغگوى فاحشه بذار بياى ايران خودفروش جرت ميديم! حكومت بايد مشت محكم بزنه تو دهن اين زن! بله حق با شماس پدسگاى دموكرات #لیلا_حاتمی,ANGRY, لیلا حاتمی کشور قیمت جونشون میتونن اعتراض کنن ارزشیا غلط کردی دروغگوی فاحشه بذار بیای ایران خودفروش جرت میدیم حکومت مشت محکم بزنه دهن زن شماس پدسگای دموکرات لیلا حاتمی,ليلا حاتمى: در كشور من مردم به قيمت جونشون ميتونن اعتراض كنن... ارزشيا: غلط كردى دروغگوى فاحشه بذار بياى ايران خودفروش جرت ميديم! حكومت بايد مشت محكم بزنه تو دهن اين زن! بله حق با شماس پدسگاى دموكرات #لیلا_حاتمی
یعنی بریم بانک بگیم کارت هدیه میخوایم؟ اینو بگیم خداوکیل مامور بانک همونجا نمیزنه زیر خنده؟؟,SURPRISE, بریم بانک بگیم کارت هدیه میخوایم اینو بگیم خداوکیل مامور بانک همونجا نمیزنه خنده,یعنی بریم بانک بگیم کارت هدیه میخوایم؟ اینو بگیم خداوکیل مامور بانک همونجا نمیزنه زیر خنده؟؟
«#آمریکا عنوان نشست ورشو را تغییر داد» ... بهگفته جواد #ظریف آمریکا در این نشست از مواضع خود عقبنشینی کرده، آنها معاون رئیسجمهور خود را برای حضور اعزام میکند، شواهد نشان میدهد اهداف و حرکت اولیه آنها به نتیجه نرسیده. مسئولان ایرانی برای حضور در این نشست دعوت نشدند #منوتوخبر,OTHER, آمریکا نشست ورشو تغییر بهگفته جواد ظریف آمریکا نشست مواضع عقبنشینی معاون رییسجمهور حضور اعزام میکند شواهد میدهد اهداف حرکت اولیه نتیجه نرسیده مسیولان ایرانی حضور نشست دعوت نشدند منوتوخبر,«#آمریکا عنوان نشست ورشو را تغییر داد» ... بهگفته جواد #ظریف آمریکا در این نشست از مواضع خود عقبنشینی کرده، آنها معاون رئیسجمهور خود را برای حضور اعزام میکند، شواهد نشان میدهد اهداف و حرکت اولیه آنها به نتیجه نرسیده. مسئولان ایرانی برای حضور در این نشست دعوت نشدند #منوتوخبر
یه وقتا انقدر آدم زندگیش غمناک میشه که دوس داره یکی یهو بگه ؛ کاااات .... عالی بود عااالی.... خسته نباشین بچه ها واسه امروز بسه !! :),SAD, وقتا انقدر آدم زندگیش غمناک دوس یهو بگه کات عالی عالی خسته نباشین بچه واسه بسه,یه وقتا انقدر آدم زندگیش غمناک میشه که دوس داره یکی یهو بگه ؛ کاااات .... عالی بود عااالی.... خسته نباشین بچه ها واسه امروز بسه !! :)
«تو راه پر از قفس بود آب، خون دل و نفس، دود فریاد میزد غم از تو من پرواز عین پرستو»,SAD, پر قفس آب خون دل نفس دود فریاد میزد غم پرواز عین پرستو,«تو راه پر از قفس بود آب، خون دل و نفس، دود فریاد میزد غم از تو من پرواز عین پرستو»
با اکانت همسرم پیغام میدم،خیلی زیباست من تو شگفت انگیز خریدم و دوسش دارم.,HAPPY, اکانت همسرم پیغام میدم زیباست شگفت انگیز خریدم دوسش,با اکانت همسرم پیغام میدم،خیلی زیباست من تو شگفت انگیز خریدم و دوسش دارم.
